['i m .', 'ik ben jaar .']
['i m glad to see you back .', 'het verheugt me je terug te zien .']
['i m glad you re all here .', 'ik ben blij dat jullie er allemaal zijn .']
['i m going to take a bath .', 'ik ga een bad nemen .']
['i m going to wash my car .', 'ik ga mijn auto wassen .']
['i m looking for my watch .', 'ik ben op zoek naar mijn horloge .']
['i m not an expert either .', 'ik ben ook geen expert .']
['i m not at all surprised .', 'ik ben helemaal niet verrast .']
['i m not drinking tonight .', 'ik drink vanavond niet .']
['i m not getting involved .', 'ik ga me daar niet in mengen .']
['i m not getting involved .', 'ik ga daar niet in betrokken raken .']
['i m not inspired anymore .', 'ik krijg geen inspiratie meer .']
['i m not thirty years old .', 'ik ben geen dertig jaar oud .']
['i m proud of my children .', 'ik ben trots op mijn kinderen .']
['i m running out of ideas .', 'mijn ideeen raken op .']
['i m sure you re mistaken .', 'ik weet zeker dat je je vergist .']
['i m talking on the phone .', 'ik ben aan de telefoon .']
['she is a pleasant person .', 'zij is een plezierig mens .']
['she is everything to him .', 'zij is alles voor hem .']
['she is expecting a child .', 'ze verwacht een kind .']
['she is expecting a child .', 'ze is zwanger .']
['she is not honest at all .', 'zij is helemaal niet eerlijk .']
['she isn t lonely anymore .', 'ze is niet meer alleen .']
['she screamed with terror .', 'ze krijste van ontzetting .']
['she set out for thailand .', 'ze is op weg naar thailand .']
['she suddenly fell silent .', 'ze werd plots stil .']
['she s way taller than me .', 'zij is veel groter dan ik .']
['she s wearing sunglasses .', 'ze draagt een zonnebril .']
['she s wearing sunglasses .', 'zij heeft een zonnebril op .']
['they are afraid of death .', 'ze zijn bang voor de dood .']
['they are as strong as us .', 'ze zijn even sterk als wij .']
['they re very fond of him .', 'ze zijn erg dol op hem .']
['we are closing the store .', 'we zijn de winkel aan het sluiten .']
['we are moving next month .', 'we verhuizen volgende maand .']
['we are working for peace .', 'we werken voor vrede .']
['we re almost out of time .', 'onze tijd zit er bijna op .']
['we re practically family .', 'we zijn haast een gezin .']
['we re practically family .', 'we zijn practisch gezien familie .']
['we re very busy just now .', 'we hebben het op het moment erg druk .']
['you are absolutely right .', 'je hebt helemaal gelijk .']
['you are absolutely right .', 'je hebt volkomen gelijk .']
['you are everything to me .', 'jij bent alles voor mij .']
['you are not at all wrong .', 'je bent helemaal niet verkeerd .']
['you are not at all wrong .', 'u bent helemaal niet verkeerd .']
['you re a good journalist .', 'je bent een goede journalist .']
['you re an excellent chef .', 'je bent een uitstekende chef kok .']
['you re an excellent cook .', 'je bent een uitstekende kok .']
['you re going to need one .', 'je zal er een nodig hebben .']
['you re strange sometimes .', 'soms ben je erg eigenaardig .']
['you re the reason i came .', 'jij bent de reden dat ik kwam .']
['he is an agreeable person .', 'hij is een meegaand mens .']
['he is famous as a pianist .', 'hij is beroemd als pianist .']
['he is good at mathematics .', 'hij is goed in wiskunde .']
['he is inclined to get mad .', 'hij heeft de neiging kwaad te worden .']
['he is playing in his room .', 'hij is in zijn kamer aan het spelen .']
['he is said to be a genius .', 'men zegt dat hij een genie is .']
['he is shaking like a leaf .', 'hij trilt als een rietje .']
['he is very afraid of dogs .', 'hij is erg bang van honden .']
['he s as strong as a horse .', 'hij is zo sterk als een paard .']
['he s good at flying kites .', 'hij kan goed vliegeren .']
['he s just an ordinary man .', 'hij is maar een gewone man .']
['he s much taller than you .', 'hij is veel groter dan gij .']
['he s my biological father .', 'hij is mijn biologische vader .']
['he s sitting at the table .', 'hij zit aan tafel .']
['he s sleeping like a baby .', 'hij slaapt als een roos .']
['i am able to read english .', 'ik ben in staat engels te lezen .']
['i am not a morning person .', 'ik ben geen ochtendmens .']
['i am not getting involved .', 'ik ga me daar niet in mengen .']
['i am not getting involved .', 'ik ga daar niet in betrokken raken .']
['i am now in an old castle .', 'ik ben nu in een oud kasteel .']
['i am sorry for what i did .', 'verontschuldig me voor wat ik gedaan heb .']
['i m actually pretty tired .', 'ik ben eigenlijk best moe .']
['i m afraid of earthquakes .', 'ik ben bang voor aardbevingen .']
['i m almost as tall as tom .', 'ik ben bijna zo groot als tom .']
['i m always under pressure .', 'ik sta altijd onder druk .']
['i m at home every evening .', 'ik ben iedere avond thuis .']
['i m at the police station .', 'ik ben bij het politiebureau .']
['i m disappointed with you .', 'je stelt me teleur .']
['i m glad that tom is here .', 'ik ben blij dat tom hier is .']
['i m glad to see you again .', 'ik ben blij u weer te zien .']
['i m glad to see you again .', 'ik ben blij je weer te zien .']
['i m glad to see you again .', 'ik ben blij jullie weer te zien .']
['i m glad to see you again .', 'het verheugt me je terug te zien .']
['i m glad to see you again .', 'het doet me plezier je weer te zien .']
['i m glad you are all here .', 'ik ben blij dat jullie er allemaal zijn .']
['i m going to need details .', 'ik zal details nodig hebben .']
['i m happy to see you here .', 'ik ben blij je hier te zien .']
['i m learning how to drive .', 'ik leer autorijden .']
['i m looking for my camera .', 'ik zoek mijn camera .']
['i m looking forward to it .', 'ik kijk er naar uit .']
['i m much younger than tom .', 'ik ben veel jonger dan tom .']
['i m not going to tell tom .', 'ik zal het niet tegen tom zeggen .']
['i m not going without you .', 'ik ga niet zonder jou .']
['i m not thirsty right now .', 'ik heb op het moment geen dorst .']
['i m reading the newspaper .', 'ik ben de krant aan het lezen .']
['i m sorry about the noise .', 'sorry voor het lawaai .']
['i m sorry i have no idea .', 'het spijt me ik heb geen enkel idee .']
['i m still a little hungry .', 'ik heb nog steeds een beetje honger .']
['i m waiting for my friend .', 'ik wacht op een vriendin van me .']
['i m waiting for my mother .', 'ik wacht op mijn moeder .']
['i m waiting for the train .', 'ik wacht op de trein .']
['i m waiting for your help .', 'ik wacht op je hulp .']
['she is a very clever liar .', 'ze is handig in het liegen .']
['she is interested in jazz .', 'ze is geinteresseerd in jazz .']
['she is interested in jazz .', 'ze interesseert zich voor jazz .']
['she is opening the window .', 'zij doet het raam open .']
['she said something to him .', 'ze zei iets tegen hem .']
['she showed him my picture .', 'ze liet hem mijn foto zien .']
['she showers every morning .', 'zij gaat elke ochtend onder de douche .']
['she speaks fairly quickly .', 'ze spreekt behoorlijk snel .']
['she s a very good teacher .', 'ze is een heel goede lerares .']
['she s an outspoken person .', 'zij is een openhartig persoon .']
['they are both in the room .', 'ze zijn beiden in de kamer .']
['they are not coming today .', 'ze komen niet vandaag .']
['they are paid by the week .', 'ze worden per week betaald .']
['they are walking barefoot .', 'ze lopen op blote voeten .']
['we aren t afraid of death .', 'we zijn niet bang voor de dood .']
['you are both in the wrong .', 'jullie hebben het allebei verkeerd .']
['you are smarter than that .', 'je bent slimmer dan dat .']
['you are tired aren t you ?', 'je bent vast moe .']
['you are tired aren t you ?', 'je bent moe niet ?']
['you are tired aren t you ?', 'je bent moe nietwaar ?']
['you aren t as short as me .', 'je bent niet zo klein als ik .']
['you re completely healthy .', 'je bent helemaal gezond .']
['you re joking aren t you ?', 'je maakt een grapje niet ?']
['you re too young to marry .', 'je bent te jong om te trouwen .']
['you re wrong in this case .', 'in dit geval heb je ongelijk .']
['he is a good tennis player .', 'hij is een goede tennisspeler .']
['he is a teacher of english .', 'hij is leraar engels .']
['he is almost six feet tall .', 'hij is bijna zes voet groot .']
['he is an aggressive person .', 'hij is een agressief mens .']
['he is busy doing something .', 'hij is met iets bezig .']
['he is not altogether wrong .', 'hij heeft niet geheel ongelijk .']
['he is still full of energy .', 'hij is nog steeds vol met energie .']
['he is too proud to give up .', 'hij is te trots om op te geven .']
['he is twice as old as i am .', 'hij is twee keer zo oud als ik .']
['he is very a dangerous man .', 'hij is een zeer gevaarlijk man .']
['he isn t able to buy a car .', 'hij kan geen auto kopen .']
['he s a man of many talents .', 'hij is een man van vele talenten .']
['he s a man you can rely on .', 'dat is iemand op wie je kan vertrouwen .']
['he s an old friend of mine .', 'hij is een oude vriend van mij .']
['he s definitely not coming .', 'hij komt zeker niet .']
['he s digging his own grave .', 'hij delft zijn eigen graf .']
['he s much younger than tom .', 'hij is veel jonger dan tom .']
['i am at home every evening .', 'ik ben elke avond thuis .']
['i am completely against it .', 'ik ben er helemaal tegen .']
['i am going down the stairs .', 'ik ga de trap af .']
['i am playing the piano now .', 'ik ben nu piano aan het spelen .']
['i am very happy in georgia .', 'ik ben heel gelukkig in georgie .']
['i m afraid of wild animals .', 'ik ben bang van wilde dieren .']
['i m cutting down on sweets .', 'ik verminder het aantal zoetigheden .']
['i m firmly opposed to this .', 'ik ben hier absoluut op tegen .']
['i m getting pretty thirsty .', 'ik krijg best wel dorst .']
['i m getting pretty thirsty .', 'ik begin best wel dorst te krijgen .']
['i m going to buy a new car .', 'ik ga een nieuwe auto kopen .']
['i m going to miss you tom .', 'ik ga je missen tom .']
['i m going to need a minute .', 'ik heb even een moment nodig .']
['i m going to sell my house .', 'ik ga mijn huis verkopen .']
['i m happy to see you again .', 'ik ben blij je weer te zien .']
['i m not feeling that great .', 'ik voel me niet zo goed .']
['i m not taking any chances .', 'ik ga geen enkel risico nemen .']
['i m scared of wild animals .', 'ik ben bang van wilde dieren .']
['i m still in love with him .', 'ik ben nog steeds verliefd op hem .']
['i m stuck in a traffic jam .', 'ik zit vast in de file .']
['i m the one who killed tom .', 'ik ben diegene die tom vermoord heeft .']
['i m tired of playing games .', 'ik heb er genoeg van spelletjes te spelen .']
['i m usually up before dawn .', 'ik ben gewoonlijk voor zonsopgang al op .']
['i m very ashamed of myself .', 'ik ben beschaamd over mezelf .']
['i m very happy to meet you .', 'prettig met u kennis te maken .']
['she is a very good teacher .', 'ze is een heel goede lerares .']
['she is anxious to meet you .', 'ze staat te popelen om jou te ontmoeten .']
['she is lying about her age .', 'ze liegt over haar leeftijd ']
['she says she likes flowers .', 'ze zegt dat ze van bloemen houdt .']
['she says that she is happy .', 'ze zegt dat ze gelukkig is .']
['she speaks relatively fast .', 'ze spreekt behoorlijk snel .']
['she s annoying and selfish .', 'ze is irritant en egoistisch .']
['she s at most years old .', 'ze is hoogstens .']
['she s got such lovely eyes .', 'ze heeft zulke mooie ogen .']
['they are eating a sandwich .', 'zij eten een boterham .']
['they re as tired as we are .', 'ze zijn even moe als wij .']
['they re in the science lab .', 'ze zijn in het lab van de natuurwetenschappen .']
['we are going to the market .', 'we gaan naar de markt .']
['we re better than they are .', 'wij zijn beter dan zij .']
['we re buying movie tickets .', 'we kopen filmkaartjes .']
['we re dead if they find us .', 'als ze ons vinden zijn we er geweest .']
['we re meant for each other .', 'wij zijn voor elkaar bestemd .']
['we re not on the same team .', 'we zitten niet bij hetzelfde team .']
['we re practically brothers .', 'we zijn praktisch broeders .']
['you are on the wrong train .', 'je zit in de verkeerde trein .']
['you are taller than she is .', 'jij bent groter dan zij .']
['you are tired and so am i .', 'jij bent moe en ik ook .']
['you are tired and so am i .', 'u bent moe en ik ook .']
['you aren t like the others .', 'u bent niet zoals de anderen .']
['you aren t like the others .', 'je bent niet zoals de anderen .']
['you re germans aren t you ?', 'jullie zijn duitsers toch ?']
['you re going the wrong way .', 'ge zijt op de verkeerde weg .']
['you re going to be jealous .', 'je gaat jaloers zijn .']
['you re not as young as tom .', 'jij bent niet zo jong als tom .']
['you re not hungry are you ?', 'je hebt geen honger of wel ?']
['you re the love of my life .', 'jij bent de liefde van mijn leven .']
['he is a head taller than me .', 'hij is een hoofd groter dan ik .']
['he is almost always at home .', 'hij is bijna altijd thuis .']
['he is an old friend of mine .', 'hij is een oude vriend van mij .']
['he is as tall as his father .', 'hij is zo groot als zijn vader .']
['he is being very kind today .', 'hij is vandaag erg aardig .']
['he is digging his own grave .', 'hij delft zijn eigen graf .']
['he is lacking in experience .', 'hij heeft gebrek aan ervaring .']
['he is looking forward to it .', 'hij verheugt zich erop .']
['he is often late for school .', 'hij komt vaak laat op school .']
['he is rarely in a good mood .', 'hij is zelden goed gehumeurd .']
['he is standing on the stage .', 'hij staat op het podium .']
['he s a freelance journalist .', 'hij is een freelance journalist .']
['he s a freelance journalist .', 'hij is een onafhankelijk journalist .']
['he s a typical japanese man .', 'hij is een typische japanse man .']
['he s able to speak japanese .', 'ze kan japans spreken .']
['he s able to speak japanese .', 'hij kan japans spreken .']
['he s better than me at math .', 'hij is beter dan ik in wiskunde .']
['i am going to buy a new car .', 'ik ga een nieuwe auto kopen .']
['i am interested in swimming .', 'ik ben geinteresseerd in zwemmen .']
['i am looking for my friends .', 'ik zoek mijn vrienden .']
['i am more handsome than you .', 'ik ben mooier dan jij .']
['i am on good terms with him .', 'ik ben op goede voet met hem .']
['i m afraid the line is busy .', 'ik ben bang dat hij in gesprek is .']
['i m afraid the line is busy .', 'ik ben bang dat de lijn bezet is .']
['i m calling the meeting off .', 'ik bel de vergadering af .']
['i m certain that he ll come .', 'ik weet zeker dat hij komt .']
['i m going to meet tom there .', 'ik ga tom daar treffen .']
['i m going to need your help .', 'ik zal je hulp nodig hebben .']
['i m in love with tom s wife .', 'ik ben verliefd op toms vrouw .']
['i m just trying to help out .', 'ik probeer alleen maar te helpen .']
['i m not causing the problem .', 'ik ben niet de oorzaak van het probleem .']
['i m not leaving without you .', 'ik ga niet weg zonder jou .']
['i m not leaving without you .', 'ik vertrek niet zonder jou .']
['i m not like everybody else .', 'ik ben niet zoals iedereen .']
['i m not very busy right now .', 'momenteel heb ik het niet erg druk .']
['i m older than your brother .', 'ik ben ouder dan uw broer .']
['i m passionate about my job .', 'ik ben enthousiast over mijn werk .']
['i m really glad you re here .', 'ik ben echt blij dat je hier bent .']
['i m supposed to protect you .', 'ik hoor je te beschermen .']
['i m sure that he ll succeed .', 'ik ben zeker dat hij zal slagen .']
['i m very proud of my father .', 'ik ben zeer trots op mijn vader .']
['i m very sorry to hear that .', 'het spijt me erg om dat te horen .']
['i m worried about my weight .', 'ik maak me zorgen over mijn gewicht .']
['she is a short story writer .', 'zij schrijft novelles .']
['she is a well mannered girl .', 'ze is een welgemanierd meisje .']
['she is dressed like a bride .', 'ze is gekleed als een bruid .']
['she is going to have a baby .', 'ze verwacht een kind .']
['she is pretty bad at tennis .', 'ze is best slecht in tennis .']
['she is really a good singer .', 'ze zingt werkelijk goed .']
['she is very fond of flowers .', 'ze houdt erg veel van bloemen .']
['she is writing a letter now .', 'ze is nu een brief aan het schrijven .']
['she said that she was happy .', 'ze zei dat ze gelukkig was .']
['she slapped him in the face .', 'zij sloeg hem in het gezicht .']
['she sleeps with two pillows .', 'ze slaapt met twee kussens .']
['she spoke with a soft voice .', 'ze sprak met zachte stem .']
['she s much happier than him .', 'zij is veel gelukkiger dan hij .']
['she s much heavier than him .', 'zij is veel zwaarder dan hij .']
['she s the girl of my dreams .', 'ze is het meisje van mijn dromen .']
['she s unaware of her beauty .', 'ze is zich niet bewust van haar schoonheid .']
['they aren t afraid of death .', 'ze zijn niet bang van de dood .']
['they re all going to prison .', 'ze gaan allemaal de gevangenis in .']
['they re all grinning at tom .', 'ze grijnzen allemaal naar tom .']
['we are in need of some food .', 'we hebben wat eten nodig .']
['we re all very proud of tom .', 'we zijn allemaal erg trots op tom .']
['we re glad to have tom back .', 'we zijn verheugd om tom terug te hebben .']
['we re going dancing tonight .', 'vanavond gaan we dansen .']
['we re not going to fire you .', 'we gaan je niet ontslaan .']
['we re not going to fire you .', 'we gaan jullie niet ontslaan .']
['you are very good at sewing .', 'je kan erg goed naaien .']
['you are very good at sewing .', 'je bent erg goed in naaien .']
['you are wanted on the phone .', 'er is telefoon voor je .']
['you aren t as short as i am .', 'je bent niet zo klein als ik .']
['you re a troublesome person !', 'je bent een lastpost .']
['you re going to need a push .', 'je gaat een duwtje nodig hebben .']
['you re not paying attention .', 'je let niet op !']
['you re probably bored stiff .', 'je verveelt je vast dood .']
['you re sleepy so go to bed .', 'je bent moe dus ga naar bed .']
['you re so impatient with me .', 'je hebt zo weinig geduld met me .']
['you re supposed to be happy .', 'je hoort gelukkig te zijn .']
['you re wanted by the police .', 'je wordt gezocht door de politie .']
['he is a well informed person .', 'hij is een goed geeinformeerd persoon .']
['he is able to speak japanese .', 'hij is in staat japans te spreken .']
['he is able to speak japanese .', 'hij kan japans spreken .']
['he is an experienced teacher .', 'hij is een ervaren lesgever .']
['he is an expert in astronomy .', 'hij is een astronomiekenner .']
['he is anxious to go with you .', 'hij zou dolgraag met u meegaan .']
['he is better than me at math .', 'hij is beter dan ik in wiskunde .']
['he is one of my best friends .', 'hij is een van mijn beste vrienden .']
['he is present at the meeting .', 'hij is aanwezig op de vergadering .']
['he is something of a scholar .', 'hij is een soort geleerde .']
['he is something of a scholar .', 'hij heeft iets van een geleerde .']
['he is sure that he will come .', 'hij weet zeker dat hij komt .']
['he is taller than his father .', 'hij is groter dan zijn vader .']
['he s not as strong as before .', 'hij is niet zo sterk als eerst .']
['he s not as strong as before .', 'hij is niet zo sterk als voorheen .']
['he s two years older than me .', 'hij is twee jaar ouder dan ik .']
['i am familiar with your name .', 'je naam komt me bekend voor .']
['i am going to tokyo tomorrow .', 'ik ga naar tokio morgen .']
['i am going to leave tomorrow .', 'ik vertrek morgen .']
['i am interested in this book .', 'ik interesseer me voor dat boek .']
['i am no better than a beggar .', 'ik ben niet beter dan een bedelaar .']
['i am trying to learn english .', 'ik probeer engels te leren .']
['i m a bit short of money now .', 'ik kom op het moment wat geld tekort .']
['i m a little out of practice .', 'ik ben een beetje uit vorm .']
['i m a little out of practice .', 'ik heb het een beetje verleerd .']
['i m a little taller than you .', 'ik ben iets groter dan gij .']
['i m absolutely certain of it .', 'ik ben er absoluut zeker van .']
['i m afraid we have no choice .', 'ik vrees dat we geen keuze hebben .']
['i m dating a girl named mary .', 'ik heb verkering met een meisje genaamd maria .']
['i m fed up with working here .', 'ik heb er genoeg van hier te werken .']
['i m giving my old books away .', 'ik geef mijn oude boeken weg .']
['i m going back to the office .', 'ik ga terug naar kantoor .']
['i m going to call the police .', 'ik ga de politie bellen .']
['i m not disturbing you am i ?', 'ik stoor toch niet wel ?']
['i m not doing this for money .', 'ik doe dit niet voor het geld .']
['i m not going to do anything .', 'ik ga niets doen .']
['i m not going to talk to you .', 'met jou praat ik niet .']
['i m not sure if that ll help .', 'ik weet niet of dat zal helpen .']
['i m only here because of you .', 'ik ben hier alleen vanwege jou .']
['i m selling my car at a loss .', 'ik verkoop mijn auto met verlies .']
['i m sorry for what i ve done .', 'ik heb spijt om wat ik gedaan heb .']
['i m speaking from experience .', 'ik spreek uit ervaring .']
['i m thinking of going abroad .', 'ik denk erover naar het buitenland te gaan .']
['i m trying to understand you .', 'ik probeer je te begrijpen .']
['i m working as fast as i can .', 'ik werk zo snel als ik kan .']
['she is anything but a singer .', 'ze is alles behalve een zangeres .']
['she is eight months pregnant .', 'ze is acht maanden zwanger .']
['she is frightened of thunder .', 'ze is bang voor onweer .']
['she is good at imitating him .', 'zij kan hem goed imiteren .']
['she is much younger than tom .', 'ze is veel jonger dan tom .']
['she is proud of her daughter .', 'ze is trots op haar dochter .']
['she is working night and day .', 'ze werkt dag en nacht .']
['she saw a tall man yesterday .', 'gisteren zag ze een grote man .']
['she speaks english very well .', 'ze spreekt heel goed engels .']
['we re all far from our homes .', 'we zijn allemaal ver van huis .']
['we re both very proud of you .', 'we zijn allebei erg trots op je .']
['we re going to need a lawyer .', 'we gaan een advocaat nodig hebben .']
['we re leaving this afternoon .', 'we vertrekken vanmiddag .']
['we re very worried about you .', 'we maken ons veel zorgen om jou .']
['you are no younger than i am .', 'gij zijt niet jonger dan ik .']
['you re always criticizing me !', 'ge hebt niets dan kritiek op mij !']
['you re carrying this too far .', 'je draaft een beetje door .']
['you re just wasting our time .', 'je verspilt alleen maar onze tijd .']
['you re not my friend anymore .', 'je bent mijn vriend niet meer .']
['you re not my friend anymore .', 'u bent mijn vriendin niet meer .']
['you re not my friend anymore .', 'u bent mijn vriend niet meer .']
['you re smarter than you look .', 'je bent slimmer dan je eruitziet .']
['you re the girl of my dreams .', 'je bent het meisje van mijn dromen .']
['he is a dentist by profession .', 'hij is tandarts van beroep .']
['he is as nutty as a fruitcake .', 'hij is zo gek als een deur .']
['he is short but he is strong .', 'hij is klein maar sterk .']
['he is taller than his brother .', 'hij is langer dan zijn broer .']
['he is used to such situations .', 'hij is dergelijke situaties gewoon .']
['he isn t actually the manager .', 'hij is eigenlijk niet de manager .']
['he s lived there all his life .', 'hij woont daar vanaf zijn geboorte .']
['he s ten years older than you .', 'hij is tien jaar ouder dan jij .']
['he s trying to commit suicide .', 'hij probeert zelfmoord te plegen .']
['i am concerned for her safety .', 'ik ben bezorgd om haar veiligheid .']
['i am engaged in aids research .', 'ik hou me bezig met het aidsonderzoek .']
['i am going abroad this summer .', 'ik ga deze zomer naar het buitenland .']
['i am happy with my girlfriend .', 'ik ben gelukkig met mijn vriendin .']
['i am seventeen years old too .', 'ook ik ben zeventien .']
['i m a lot bigger than you are .', 'ik ben veel groter dan jij bent .']
['i m a lot bigger than you are .', 'ik ben veel groter dan jij .']
['i m afraid it s going to rain .', 'ik vrees dat het zal gaan regenen .']
['i m afraid it s going to rain .', 'ik ben bang dat het gaat regenen .']
['i m always proud of my family .', 'ik ben altijd fier over mijn familie .']
['i m always proud of my family .', 'ik ben altijd trots op mijn familie .']
['i m free every day but monday .', 'ik ben alle dagen vrij behalve op maandag .']
['i m glad that makes you happy .', 'ik ben blij dat dat je gelukkig maakt .']
['i m glad that makes you happy .', 'ik ben blij dat dat jullie gelukkig maakt .']
['i m going to hanover with you .', 'ik ga met u naar hannover .']
['i m going to paris next month .', 'volgende maand ga ik naar parijs .']
['i m going to see him tomorrow .', 'ik zal hem morgen zien .']
['i m going with you to hanover .', 'ik ga met u naar hannover .']
['i m here because i want to be .', 'ik ben hier omdat ik dat wil .']
['i m not leaving the door open .', 'ik laat de deur niet open .']
['i m not thirsty at the moment .', 'ik heb nu geen dorst .']
['i m not very good at swimming .', 'ik kan niet erg goed zwemmen .']
['i m not wearing any underwear .', 'ik draag helemaal geen onderbroek .']
['i m rarely invited to parties .', 'ik word maar zelden op feestjes uitgenodigd .']
['i m sick and tired of reading .', 'ik heb genoeg van lezen .']
['i m so happy to see you again .', 'ik ben zo blij je weer te zien .']
['i m sorry for calling so late .', 'sorry dat ik zo laat bel .']
['i m sorry for calling so late .', 'het spijt me dat ik zo laat bel .']
['i m sorry the flight is full .', 'sorry de vlucht is vol .']
['i m still not sure about that .', 'ik ben daar nog steeds niet zeker van .']
['i m sure that he ll get angry .', 'ik ben zeker dat hij kwaad zal zijn .']
['i m surprised to see you here .', 'ik ben verbaasd om jou hier te zien .']
['i m waiting for my girlfriend .', 'ik wacht op mijn vriendin .']
['i m on a diet at the moment .', 'voor het ogenblik ben ik op dieet .']
['she is fond of playing tennis .', 'ze is dol op tennissen .']
['she is not afraid of anything .', 'zij is nergens bang voor .']
['she is not afraid of anything .', 'ze is nergens bang voor .']
['she is pleased with the dress .', 'ze is tevreden met de jurk .']
['she is taller than her sister .', 'ze is langer dan haar zus .']
['she is indeed a lovely girl .', 'ze is inderdaad een lief meisje .']
['she said that he was handsome .', 'ze zei dat hij er knap uitzag .']
['she s as pretty as her sister .', 'zij is zo schattig als haar zuster .']
['she s fond of taking pictures .', 'ze houdt van fotograferen .']
['she s fond of taking pictures .', 'ze neemt graag foto s .']
['she s neither rich nor famous .', 'ze is noch rijk noch beroemd .']
['she s really smart isn t she ?', 'zij is echt slim niet ?']
['she s really smart isn t she ?', 'zij is intelligent niet waar ?']
['she s really smart isn t she ?', 'ze is echt intelligent niet ?']
['she s six years older than me .', 'ze is zes jaar ouder dan ik .']
['they are sitting at the table .', 'ze zitten aan tafel .']
['they re related to each other .', 'ze zijn aan elkaar verwant .']
['we are familiar with the poem .', 'we zijn bekend met het gedicht .']
['we re all going to die anyway .', 'we gaan allemaal toch dood .']
['we re going shopping tomorrow .', 'we gaan morgen winkelen .']
['we re going shopping tomorrow .', 'morgen gaan we shoppen .']
['we re going to need everybody .', 'we zullen iedereen nodig hebben .']
['we re not getting any younger .', 'we worden niet jonger .']
['you re doing it the wrong way .', 'je doet het verkeerd .']
['you re never too old to learn .', 'je bent nooit te oud om te leren .']
['you re our guest for the week .', 'je bent onze gast van de week .']
['you re sick . you have to rest .', 'je bent ziek . je moet slapen .']
['you re sick . you have to rest .', 'u bent ziek . u moet slapen .']
['he is able to swim like a fish .', 'hij kan zwemmen als een vis .']
['he is acting on his own behalf .', 'hij handelt namens zichzelf .']
['he is known as a great painter .', 'hij is bekend als een groot schilder .']
['he is less intelligent than me .', 'hij is minder intelligent dan ik .']
['he is selling it just as it is .', 'hij verkoopt het zoals het is .']
['he is taller than me by a head .', 'hij is een hoofd groter dan ik .']
['he is the tallest of the three .', 'hij is de grootste van de drie .']
['he is working in aids research .', 'hij werkt in de aids research .']
['he isn t going to buy a camera .', 'hij gaat geen fototoestel kopen .']
['he s a member of the golf club .', 'hij is lid van de golfclub .']
['he s afraid of making mistakes .', 'hij is bang fouten te maken .']
['he s always at home on mondays .', 'op maandag is hij altijd thuis .']
['he s been working all day long .', 'hij heeft de hele dag lang gewerkt .']
['he s not a doctor but a nurse .', 'hij is geen dokter maar een verpleger .']
['he s the president of the bank .', 'hij is de voorzitter van de bank .']
['he s three years older than me .', 'hij is drie jaar ouder dan ik .']
['i am always proud of my family .', 'ik ben altijd fier over mijn familie .']
['i am always proud of my family .', 'ik ben altijd trots op mijn familie .']
['i am anxious about your health .', 'ik maak mij zorgen over uw gezondheid .']
['i am going to america by plane .', 'ik ga met het vliegtuig naar amerika .']
['i am positive that he is wrong .', 'ik ben zeker dat hij ongelijk heeft .']
['i am sure that he will succeed .', 'ik ben zeker dat hij zal slagen .']
['i m buying fruit and chocolate .', 'ik koop fruit en chocolade .']
['i m giving you a second chance .', 'ik geef je een tweede kans .']
['i m giving you one last chance .', 'ik geef je een laatste kans .']
['i m going to ask you something .', 'ik ga je iets vragen .']
['i m going to see a horror film .', 'ik ga een horrorfilm kijken .']
['i m looking for a mango to eat .', 'ik zoek naar een mango om te eten .']
['i m not going to see you again .', 'ik zal je niet meer weerzien .']
['i m not sure where tom is from .', 'ik weet niet zeker waar tom vandaan komt .']
['i m opposed to any type of war .', 'ik ben tegen ieder soort oorlog .']
['i m really not all that hungry .', 'ik heb echt niet zo veel honger .']
['i m running linux on my laptop .', 'mijn laptop draait linux .']
['i m sorry i hurt your feelings .', 'het spijt me dat ik je gekwetst heb .']
['i m sorry i don t have change .', 'het spijt me ik heb geen wisselgeld .']
['i m surprised to find you here .', 'ik ben verrast je hier tegen te komen .']
['i m the owner of this building .', 'ik ben de eigenaar van dit gebouw .']
['i m used to cooking for myself .', 'ik ben gewoon om voor mezelf te koken .']
['i m used to cooking for myself .', 'ik ben gewend om voor mezelf te koken .']
['i m ironing my handkerchiefs .', 'ik ben mijn zakdoeken aan het strijken .']
['i m ironing my handkerchiefs .', 'ik strijk mijn zakdoeken .']
['she is not home but at school .', 'ze is niet thuis maar op school .']
['she is used to staying up late .', 'zij is gewend laat op te blijven .']
['she is what is called a genius .', 'zij is wat men een genie noemt .']
['she sewed a button on her coat .', 'ze naaide een knoop op haar jas vast .']
['she sewed a button on her coat .', 'ze heeft een knoop op haar jas vastgenaaid .']
['she smokes cigarettes a day .', 'ze rookt twintig sigaretten per dag .']
['she s about the same age as me .', 'ze is ongeveer even oud als ik .']
['she s trying to commit suicide .', 'ze probeert zelfmoord te plegen .']
['she s two years older than you .', 'ze is twee jaar ouder dan jij .']
['she s very interested in music .', 'zij interesseert zich erg voor muziek .']
['they are to be married in june .', 'ze gaan trouwen in juni .']
['we are eating breakfast inside .', 'we ontbijten binnen .']
['we are facing a violent crisis .', 'we worden met een ernstige crisis geconfronteerd .']
['we re going to be needing this .', 'dit gaan we nodig hebben .']
['we re going to be needing this .', 'we zullen dit nodig hebben .']
['we re hoping tom s still alive .', 'we hopen dat tom nog leeft .']
